available_cities,available_days,available_time_slots,base_price,breed_specific,category,city_pricing,created_at,created_by,deposit_percentage,description,duration,duration_minutes,excludes,features,fulfillment,id,image,image_url,includes,is_24x7,is_active,is_bookable,is_free,is_synced_from_product,mira_whispers,name,payment_timing,pet_count_pricing,pet_size_pricing,pet_sizes,pet_types,pillar,price,provider_id,provider_name,requires_consultation,service_type,source_product_id,status,sync_timestamp,tags,updated_at
,,,,,sitting,,,,,Professional pet sitter cares for your pet at your home.,8 hours,,,"['Feeding', 'Walks', 'Playtime', 'Photo Updates']",,svc-care-sitting,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Pet Sitting (Daily),,,,,,care,799,,,,,,,,,
,,,,,feed,,,,,One-on-one consultation with a certified pet nutritionist for personalized diet planning.,60 min,,,"['Diet Assessment', 'Custom Meal Plan', 'Supplement Advice', 'Follow-up Support']",,svc-care-nutrition-consult,https://images.unsplash.com/photo-1589924691995-400dc9ecc119?w=800,,,,True,,,,,Nutrition Consultation,,,,,,care,1499,,,,,,,,,
,,,,,feed,,,,,Structured weight loss or gain programme with nutritionist guidance and progress tracking.,8 weeks,,,"['Initial Assessment', 'Custom Diet Plan', 'Weekly Check-ins', 'Progress Reports', 'Meal Prep Guide']",,svc-care-weight-management,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Weight Management Programme,,,,,,care,3999,,,,,,,,,
,,,,,feed,,,,,Specialized diet planning for pets with food allergies or sensitivities.,Ongoing,,,"['Allergy Testing Review', 'Elimination Diet Guide', 'Safe Food List', 'Recipe Suggestions']",,svc-care-allergy-diet,https://images.unsplash.com/photo-1601758003122-53c40e686a19?w=800,,,,True,,,,,Allergy-Safe Diet Planning,,,,,,care,2499,,,,,,,,,
,,,,,feed,,,,,Age-appropriate nutrition guidance for growing puppies from weaning to adulthood.,6 months,,,"['Growth Stage Plans', 'Portion Guides', 'Supplement Recommendations', 'Milestone Check-ins']",,svc-care-puppy-nutrition,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Puppy Nutrition Programme,,,,,,care,1999,,,,,,,,,
,,,,,feed,,,,,Specialized nutrition support for aging pets to maintain health and vitality.,Ongoing,,,"['Senior Diet Assessment', 'Joint Support Foods', 'Digestive Health', 'Cognitive Support']",,svc-care-senior-nutrition,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Senior Pet Nutrition,,,,,,care,1999,,,,,,,,,
,,,,,feed,,,,,Help sourcing and managing prescription diets for pets with medical conditions.,Ongoing,,,"['Vet Coordination', 'Diet Sourcing', 'Transition Support', 'Compliance Tracking']",,svc-care-prescription-diet,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Prescription Diet Coordination,,,,,,care,999,,,,,,,,,
,,,,,party,,,,,Complete party planning service for your pet's special day. We handle everything from venue to cake!,Full Day,,,"['Venue Coordination', 'Custom Cake', 'Decorations', 'Guest Invitations', 'Party Games', 'Photo Documentation']",,svc-celebrate-party,https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=800,,,,True,,,,,Birthday Party Planning,,,,,,celebrate,4999,,,,,,,,,
,,,,,photography,,,,,Studio or outdoor photoshoot with professional pet photographer. Create lasting memories!,2 hours,,,"['Professional Photographer', '20 Edited Photos', 'Props Included', 'Location Choice', 'Digital Album']",,svc-celebrate-photoshoot,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Professional Pet Photoshoot,,,,,,celebrate,3499,,,,,,,,,
,,,,,consultation,,,,,One-on-one consultation with our cake designer to create the perfect custom cake.,30 min,,,"['Design Consultation', 'Flavor Tasting', 'Photo Preview', 'Dietary Customization']",,svc-celebrate-cake-consult,https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=800,,,,True,,,,,Custom Cake Consultation,,,,,,celebrate,499,,,,,,,,,
,,,,,premium,,,,,"The ultimate celebration package - cake, treats, photoshoot, decorations & party coordination!",Full Day,,,"['Custom Cake', 'Treat Platter', '2-Hour Photoshoot', 'Premium Decorations', 'Party Coordination', 'Digital Album', 'Celebration Hamper']",,svc-celebrate-pawty-package,https://images.unsplash.com/photo-1530041539828-114de669390e?w=800,,,,True,,,,,Pawty Package (Full Celebration),,,,,,celebrate,9999,,,,,,,,,
,,,,,gotcha,,,,,Celebrate your pet's adoption anniversary with a special gotcha day package.,Half Day,,,"['Gotcha Day Cake', 'Celebration Treats', 'Photo Session', 'Adoption Story Frame']",,svc-celebrate-gotcha,https://images.unsplash.com/photo-1601758003122-53c40e686a19?w=800,,,,True,,,,,Gotcha Day Celebration,,,,,,celebrate,2499,,,,,,,,,
,,,,,surprise,,,,,Send surprise treats and gifts to any pet parent! We deliver joy anywhere.,Same Day,,,"['Gift Wrapped Package', 'Personalized Card', 'Surprise Treats', 'Same Day Delivery', 'Video Message Option']",,svc-celebrate-surprise,https://images.unsplash.com/photo-1518882605630-8eb723e8e0b4?w=800,,,,True,,,,,Surprise Delivery Service,,,,,,celebrate,1499,,,,,,,,,
,,,,,milestone,,,,,"Celebrate your pet's milestones - first walk, 1 year, 100 treats, weight goals and more!",Delivered,,,"['Milestone Cake', 'Achievement Badge', 'Photo Props', 'Celebration Treats', 'Memory Card']",,svc-celebrate-milestone,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800,,,,True,,,,,Milestone Celebration Kit,,,,,,celebrate,1999,,,,,,,,,
,,,,,venue,,,,,We find and book the perfect pet-friendly venue for your celebration.,Booking Service,,,"['Venue Search', 'Pet Policy Check', 'Booking Coordination', 'Vendor Management']",,svc-celebrate-venue,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800,,,,True,,,,,Pet-Friendly Venue Booking,,,,,,celebrate,999,,,,,,,,,
,,,,,insure,,,,,Get quotes from multiple pet insurance providers and find the best coverage for your pet.,24-48 hours,,,"['Multiple Provider Quotes', 'Coverage Comparison', 'Expert Recommendations', 'No Obligation']",,svc-insure-quote,https://images.unsplash.com/photo-1450101499163-c8848c66ca85?w=800,,,,True,,,,,Pet Insurance Quote Comparison,,,,,,paperwork,0,,,,,,,,,
,,,,,insure,,,,,Expert review of your current pet insurance policy to ensure you have the best coverage.,2-3 days,,,"['Coverage Analysis', 'Gap Identification', 'Upgrade Recommendations', 'Cost Optimization']",,svc-insure-review,https://images.unsplash.com/photo-1554224155-6726b3ff858f?w=800,,,,True,,,,,Policy Review & Optimization,,,,,,paperwork,499,,,,,,,,,
,,,,,insure,,,,,Professional help filing and tracking your pet insurance claims for faster reimbursement.,Same day,,,"['Document Preparation', 'Claim Submission', 'Status Tracking', 'Appeal Support']",,svc-insure-claim,https://images.unsplash.com/photo-1554224155-8d04cb21cd6c?w=800,,,,True,,,,,Claim Filing Assistance,,,,,,paperwork,299,,,,,,,,,
,,,,,insure,,,,,Never miss a renewal with automated reminders and assistance with policy renewals.,Annual,,,"['Renewal Reminders', 'Rate Comparison', 'Auto-Renewal Setup', 'Coverage Updates']",,svc-insure-renewal,https://images.unsplash.com/photo-1554224155-6726b3ff858f?w=800,,,,True,,,,,Renewal Management Service,,,,,,paperwork,199,,,,,,,,,
,,,,,insure,,,,,"End-to-end insurance management - from quote to claims, we handle it all.",Annual,,,"['Quote Comparison', 'Policy Setup', 'Claims Assistance', 'Renewal Management', '24/7 Support']",,svc-insure-bundle,https://images.unsplash.com/photo-1450101499163-c8848c66ca85?w=800,,,,True,,,,,Complete Insurance Package,,,,,,paperwork,999,,,,,,,,,
[],[],[],5000,[],,{},2026-02-27T16:05:09.562467+00:00,admin,20,Complete birthday planning and execution at your home,,180,[],,in_house,SVC-CELEB-BDAY-HOME,,,"['Theme decoration', 'Pet-safe cake', 'Party games', 'Photographer coordination']",False,True,True,False,,[],Birthday Party - Home,configurable,{},{},[],"['dog', 'cat']",celebrate,,,,False,info,,,,[],2026-02-27T16:05:09.562476+00:00
[],[],[],8000,[],,{},2026-02-27T16:05:09.569716+00:00,admin,20,Birthday celebration at a pet-friendly venue,,240,[],,in_house,SVC-CELEB-BDAY-VENUE,,,"['Venue booking', 'Full decoration', 'Catering', 'Entertainment']",False,True,True,False,,[],Birthday Party - Venue,configurable,{},{},[],"['dog', 'cat']",celebrate,,,,False,info,,,,[],2026-02-27T16:05:09.569722+00:00
[],[],[],3000,[],,{},2026-02-27T16:05:09.570204+00:00,admin,20,Celebrate your pet's adoption anniversary,,120,[],,in_house,SVC-CELEB-GOTCHA,,,[],False,True,True,False,,[],Gotcha Day Celebration,configurable,{},{},[],"['dog', 'cat']",celebrate,,,,False,info,,,,[],2026-02-27T16:05:09.570208+00:00
[],[],[],,[],,{},2026-02-27T16:05:09.570608+00:00,admin,20,"First travel, senior years, recovery milestones",,,[],,in_house,SVC-CELEB-MILESTONE,,,[],False,True,False,False,,[],Milestone Celebration,configurable,{},{},[],"['dog', 'cat']",celebrate,,,,True,info,,,,[],2026-02-27T16:05:09.570610+00:00
[],[],[],4000,[],,{},2026-02-27T16:05:09.570999+00:00,admin,20,"Diwali, Christmas, Holi celebrations with your pet",,180,[],,in_house,SVC-CELEB-FESTIVE,,,[],False,True,True,False,,[],Festive Celebration Planning,configurable,{},{},[],"['dog', 'cat']",celebrate,,,,False,info,,,,[],2026-02-27T16:05:09.571002+00:00
[],[],[],,[],,{},2026-02-27T16:05:09.571351+00:00,admin,20,Surprise party or gift coordination for pet parents,,,[],,in_house,SVC-CELEB-SURPRISE,,,[],False,True,False,False,,[],Surprise Coordination,configurable,{},{},[],"['dog', 'cat']",celebrate,,,,True,info,,,,[],2026-02-27T16:05:09.571354+00:00
[],[],[],0,[],,{},2026-02-27T16:05:09.571701+00:00,admin,20,"Automated reminders for birthdays, gotcha days, milestones",,,[],,in_house,SVC-CELEB-REMINDERS,,,[],False,True,True,True,,[],Life Moment Tracking,configurable,{},{},[],"['dog', 'cat']",celebrate,,,,False,info,,,,[],2026-02-27T16:05:09.571704+00:00
[],[],[],0,[],,{},2026-02-27T16:05:09.572059+00:00,admin,20,Find the perfect restaurant that welcomes your pet,,,[],,in_house,SVC-DINE-DISCOVER,,,[],False,True,True,True,,[],Pet-Friendly Restaurant Discovery,configurable,{},{},[],"['dog', 'cat']",dine,,,,False,info,,,,[],2026-02-27T16:05:09.572062+00:00
[],[],[],200,[],,{},2026-02-27T16:05:09.572399+00:00,admin,20,We confirm pet acceptance and make the reservation,,30,[],,in_house,SVC-DINE-RESERVE,,,[],False,True,True,False,,[],Reservation Assistance,configurable,{},{},[],"['dog', 'cat']",dine,,,,False,info,,,,[],2026-02-27T16:05:09.572402+00:00
[],[],[],500,[],,{},2026-02-27T16:05:09.572719+00:00,admin,20,Tips and training for dining out with your pet,,60,[],,in_house,SVC-DINE-ETIQUETTE,,,[],False,True,True,False,,[],Dining Etiquette Guidance,configurable,{},{},[],"['dog', 'cat']",dine,,,,False,info,,,,[],2026-02-27T16:05:09.572722+00:00
[],[],[],0,[],,{},2026-02-27T16:05:09.573036+00:00,admin,20,Breed and size suitability check for venues,,,[],,in_house,SVC-DINE-ADVISORY,,,[],False,True,True,True,,[],Venue Suitability Advisory,configurable,{},{},[],"['dog', 'cat']",dine,,,,False,info,,,,[],2026-02-27T16:05:09.573039+00:00
[],[],[],,[],,{},2026-02-27T16:05:09.573340+00:00,admin,20,Alternative options if plans change last minute,,,[],,in_house,SVC-DINE-BACKUP,,,[],False,True,False,False,,[],Backup Dining Alternatives,configurable,{},{},[],"['dog', 'cat']",dine,,,,True,info,,,,[],2026-02-27T16:05:09.573342+00:00
[],[],[],0,[],,{},2026-02-27T16:05:09.573629+00:00,admin,20,Find hotels and resorts that welcome your pet,,,[],,in_house,SVC-STAY-DISCOVER,,,[],False,True,True,True,,[],Pet-Friendly Hotel Discovery,configurable,{},{},[],"['dog', 'cat']",stay,,,,False,info,,,,[],2026-02-27T16:05:09.573631+00:00
[],[],[],300,[],,{},2026-02-27T16:05:09.573947+00:00,admin,20,"Verify breed, size, and number restrictions",,30,[],,in_house,SVC-STAY-VERIFY,,,[],False,True,True,False,,[],Property Rule Verification,configurable,{},{},[],"['dog', 'cat']",stay,,,,False,info,,,,[],2026-02-27T16:05:09.573949+00:00
[],[],[],0,[],,{},2026-02-27T16:05:09.574242+00:00,admin,20,Recommend the right room type for your pet,,,[],,in_house,SVC-STAY-ADVISORY,,,[],False,True,True,True,,[],Room Suitability Advisory,configurable,{},{},[],"['dog', 'cat']",stay,,,,False,info,,,,[],2026-02-27T16:05:09.574244+00:00
[],[],[],,[],,{},2026-02-27T16:05:09.574534+00:00,admin,20,Serviced apartments and extended stay planning,,,[],,in_house,SVC-STAY-LONGTERM,,,[],False,True,False,False,,[],Long-Stay Assistance,configurable,{},{},[],"['dog', 'cat']",stay,,,,True,info,,,,[],2026-02-27T16:05:09.574536+00:00
[],[],[],800,[],,"{'mumbai': 1.2, 'delhi': 1.1, 'bangalore': 1.0}",2026-02-27T16:05:09.574852+00:00,admin,20,"When hotel stays aren't possible, we find boarding",,,[],,in_house,SVC-STAY-BOARDING,,,[],False,True,True,False,,[],Boarding Alternatives,configurable,{},{},[],"['dog', 'cat']",stay,,,,False,info,,,,[],2026-02-27T16:05:09.574854+00:00
[],[],[],500,[],,{},2026-02-27T16:05:09.575162+00:00,admin,20,Route-specific pet policy guidance,,45,[],,in_house,SVC-TRAVEL-AIRLINE,,,[],False,True,True,False,,[],Airline Policy Interpretation,configurable,{},{},[],"['dog', 'cat']",travel,,,,False,info,,,,[],2026-02-27T16:05:09.575164+00:00
[],[],[],300,[],,{},2026-02-27T16:05:09.575445+00:00,admin,20,Feasibility check based on pet size and route,,30,[],,in_house,SVC-TRAVEL-CABIN-CARGO,,,[],False,True,True,False,,[],Cabin vs Cargo Advisory,configurable,{},{},[],"['dog', 'cat']",travel,,,,False,info,,,,[],2026-02-27T16:05:09.575447+00:00
[],[],[],800,[],,{},2026-02-27T16:05:09.575734+00:00,admin,20,Complete road trip or train journey planning,,60,[],,in_house,SVC-TRAVEL-ROAD-RAIL,,,[],False,True,True,False,,[],Train & Road Travel Planning,configurable,{},{},[],"['dog', 'cat']",travel,,,,False,info,,,,[],2026-02-27T16:05:09.575736+00:00
[],[],[],400,[],,{},2026-02-27T16:05:09.576030+00:00,admin,20,Pet rules and requirements at your destination,,30,[],,in_house,SVC-TRAVEL-DESTINATION,,,[],False,True,True,False,,[],Destination Pet Rules,configurable,{},{},[],"['dog', 'cat']",travel,,,,False,info,,,,[],2026-02-27T16:05:09.576032+00:00
[],[],[],5000,[],,{},2026-02-27T16:05:09.576321+00:00,admin,20,Complete domestic move with your pet,,,[],,in_house,SVC-TRAVEL-RELOCATE-DOM,,,[],False,True,False,False,,[],Domestic Relocation Planning,configurable,{},{},[],"['dog', 'cat']",travel,,,,True,info,,,,[],2026-02-27T16:05:09.576323+00:00
[],[],[],15000,[],,{},2026-02-27T16:05:09.576598+00:00,admin,20,International move with quarantine and documentation,,,[],,in_house,SVC-TRAVEL-RELOCATE-INTL,,,[],False,True,False,False,,[],International Relocation,configurable,{},{},[],"['dog', 'cat']",travel,,,,True,info,,,,[],2026-02-27T16:05:09.576600+00:00
[],[],[],1000,[],,{},2026-02-27T16:05:09.576881+00:00,admin,20,Airport handling and transit coordination,,60,[],,in_house,SVC-TRAVEL-TRANSIT,,,[],False,True,True,False,,[],Transit & Handling Guidance,configurable,{},{},[],"['dog', 'cat']",travel,,,,False,info,,,,[],2026-02-27T16:05:09.576883+00:00
[],[],[],600,[],,"{'mumbai': 1.2, 'delhi': 1.15, 'bangalore': 1.0, 'chennai': 0.95}",2026-02-27T16:05:09.577168+00:00,admin,20,General health checkup and consultation,,30,[],,in_house,SVC-CARE-VET-GENERAL,,,[],False,True,True,False,,[],Vet Consultation - General,configurable,{},{},[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.577170+00:00
[],[],[],1500,[],,"{'mumbai': 1.25, 'delhi': 1.2, 'bangalore': 1.0}",2026-02-27T16:05:09.577444+00:00,admin,20,"Specialist consultation (dermatology, cardiology, etc.)",,45,[],,in_house,SVC-CARE-VET-SPECIALTY,,,[],False,True,True,False,,[],Vet Consultation - Specialty,configurable,{},{},[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.577446+00:00
[],[],[],1200,[],,"{'mumbai': 1.3, 'delhi': 1.2, 'bangalore': 1.0}",2026-02-27T16:05:09.577730+00:00,admin,20,Vet comes to your home,,45,[],,in_house,SVC-CARE-VET-HOME,,,[],False,True,True,False,,[],Vet Visit - Home,configurable,{},{},[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.577732+00:00
[],[],[],800,[],,"{'mumbai': 1.15, 'delhi': 1.1, 'bangalore': 1.0, 'chennai': 0.95, 'hyderabad': 0.95, 'pune': 1.05}",2026-02-27T16:05:09.578025+00:00,admin,20,"Bath, brush, nail trim, ear cleaning",,60,[],,in_house,SVC-CARE-GROOM-BASIC,,,"['Bath with premium shampoo', 'Blow dry', 'Brushing', 'Nail trim', 'Ear cleaning']",False,True,True,False,,[],Basic Grooming,configurable,{},"{'toy': 0.7, 'small': 0.85, 'medium': 1.0, 'large': 1.3, 'giant': 1.6}",[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.578027+00:00
[],[],[],1500,[],,{},2026-02-27T16:05:09.578315+00:00,admin,20,Complete spa experience with massage,,120,[],,in_house,SVC-CARE-GROOM-SPA,,,"['Everything in Basic', 'Full haircut', 'Spa massage', 'Pawdicure', 'Aromatherapy']",False,True,True,False,,[],Full Spa Grooming,configurable,{},"{'small': 0.85, 'medium': 1.0, 'large': 1.4, 'giant': 1.8}",[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.578317+00:00
[],[],[],1200,[],,"{'mumbai': 1.2, 'delhi': 1.15, 'bangalore': 1.0}",2026-02-27T16:05:09.578596+00:00,admin,20,Groomer comes to your home,,90,[],,in_house,SVC-CARE-GROOM-HOME,,,[],False,True,True,False,,[],Home Grooming,configurable,{},{},[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.578597+00:00
[],[],[],0,[],,{},2026-02-27T16:05:09.578880+00:00,admin,20,"Vaccination, deworming, health check reminders",,,[],,in_house,SVC-CARE-PREVENT,,,[],False,True,True,True,,[],Preventive Care Reminders,configurable,{},{},[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.578881+00:00
[],[],[],800,[],,{},2026-02-27T16:05:09.579170+00:00,admin,20,Non-medical diet and nutrition planning,,45,[],,in_house,SVC-CARE-NUTRITION,,,[],False,True,True,False,,[],Nutrition Guidance,configurable,{},{},[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.579172+00:00
[],[],[],,[],,{},2026-02-27T16:05:09.579452+00:00,admin,20,Post-surgery or treatment care coordination,,,[],,in_house,SVC-CARE-RECOVERY,,,[],False,True,False,False,,[],Recovery Care Coordination,configurable,{},{},[],"['dog', 'cat']",care,,,,True,info,,,,[],2026-02-27T16:05:09.579454+00:00
[],[],[],1500,[],,{},2026-02-27T16:05:09.579749+00:00,admin,20,Comprehensive care plan for senior pets,,60,[],,in_house,SVC-CARE-SENIOR,,,[],False,True,True,False,,[],Senior Pet Care Planning,configurable,{},{},[],"['dog', 'cat']",care,,,,False,info,,,,[],2026-02-27T16:05:09.579751+00:00
[],[],[],0,[],,{},2026-02-27T16:05:09.580042+00:00,admin,20,Find dog parks and open spaces near you,,,[],,in_house,SVC-ENJOY-PARKS,,,[],False,True,True,True,,[],Pet Parks Discovery,configurable,{},{},[],"['dog', 'cat']",enjoy,,,,False,info,,,,[],2026-02-27T16:05:09.580044+00:00
[],[],[],300,[],,{},2026-02-27T16:05:09.580325+00:00,admin,20,Arrange playdates with compatible dogs,,120,[],,in_house,SVC-ENJOY-PLAYDATE,,,[],False,True,True,False,,[],Playdate Coordination,configurable,{},{},[],"['dog', 'cat']",enjoy,,,,False,info,,,,[],2026-02-27T16:05:09.580327+00:00
[],[],[],500,[],,{},2026-02-27T16:05:09.580604+00:00,admin,20,"Pet-friendly events, meetups, experiences",,180,[],,in_house,SVC-ENJOY-EVENTS,,,[],False,True,True,False,,[],Pet Events & Experiences,configurable,{},{},[],"['dog', 'cat']",enjoy,,,,False,info,,,,[],2026-02-27T16:05:09.580606+00:00
[],[],[],800,[],,{},2026-02-27T16:05:09.580896+00:00,admin,20,Structured socialisation for puppies and shy dogs,,90,[],,in_house,SVC-ENJOY-SOCIAL,,,[],False,True,True,False,,[],Socialisation Planning,configurable,{},{},[],"['dog', 'cat']",enjoy,,,,False,info,,,,[],2026-02-27T16:05:09.580898+00:00
[],[],[],400,[],,{},2026-02-27T16:05:09.581185+00:00,admin,20,Complete weekend activity plan with your pet,,60,[],,in_house,SVC-ENJOY-WEEKEND,,,[],False,True,True,False,,[],Weekend Outing Planning,configurable,{},{},[],"['dog', 'cat']",enjoy,,,,False,info,,,,[],2026-02-27T16:05:09.581187+00:00
[],[],[],300,[],,"{'mumbai': 1.15, 'delhi': 1.1, 'bangalore': 1.0}",2026-02-27T16:05:09.581464+00:00,admin,20,Daily dog walking service,,30,[],,in_house,SVC-FIT-WALK-DAILY,,,[],False,True,True,False,,[],Dog Walking - Daily,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.581466+00:00
[],[],[],6000,[],,"{'mumbai': 1.15, 'delhi': 1.1, 'bangalore': 1.0}",2026-02-27T16:05:09.581758+00:00,admin,20,30 walks per month,,30,[],,in_house,SVC-FIT-WALK-MONTHLY,,,[],False,True,True,False,,[],Dog Walking - Monthly Package,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.581760+00:00
[],[],[],1000,[],,{},2026-02-27T16:05:09.582051+00:00,admin,20,Customized exercise routine for your breed,,60,[],,in_house,SVC-FIT-ACTIVITY,,,[],False,True,True,False,,[],Breed-Appropriate Activity Plan,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.582053+00:00
[],[],[],800,[],,{},2026-02-27T16:05:09.582332+00:00,admin,20,Exercise plans for apartment living,,45,[],,in_house,SVC-FIT-INDOOR,,,[],False,True,True,False,,[],Indoor Exercise Routines,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.582334+00:00
[],[],[],500,[],,{},2026-02-27T16:05:09.582613+00:00,admin,20,Guided outdoor exercise and play,,60,[],,in_house,SVC-FIT-OUTDOOR,,,[],False,True,True,False,,[],Outdoor Exercise Sessions,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.582615+00:00
[],[],[],2500,[],,{},2026-02-27T16:05:09.582910+00:00,admin,20,Non-medical weight loss/gain support,,,[],,in_house,SVC-FIT-WEIGHT,,,[],False,True,True,False,,[],Weight Management Program,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.582911+00:00
[],[],[],1200,[],,{},2026-02-27T16:05:09.583190+00:00,admin,20,Gentle exercise for senior dogs,,45,[],,in_house,SVC-FIT-SENIOR,,,[],False,True,True,False,,[],Senior Mobility Planning,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.583192+00:00
[],[],[],1000,[],,"{'mumbai': 1.2, 'bangalore': 1.0}",2026-02-27T16:05:09.583511+00:00,admin,20,Hydrotherapy and recreational swimming,,45,[],,in_house,SVC-FIT-SWIM,,,[],False,True,True,False,,[],Swimming Sessions,configurable,{},{},[],"['dog', 'cat']",fit,,,,False,info,,,,[],2026-02-27T16:05:09.583513+00:00
