id,name,base_price,category,type,description,pillar_shop,pillar_celebrate,pillar_dine,pillar_stay,pillar_travel,pillar_care,pillar_enjoy,pillar_fit,pillar_learn,pillar_paperwork,pillar_advisory,pillar_emergency,pillar_farewell,pillar_adopt
svc-enjoy-1d90a879,Pet Photography Session,1999,experiences,,Professional pet photoshoot,,,,,,,Y,,,,,,,
svc-enjoy-2307e263,Doggy Swimming Session,799,activities,,Supervised pool time for dogs,,,,,,,Y,,,,,,,
svc-fit-9a00b7ab,Dog Running Session,499,fitness,,Professional dog running service,,,,,,,,Y,,,,,,
svc-fit-0d19a648,Canine Yoga Class,799,classes,,Yoga session with your dog,,,,,,,,,Y,,,,,
svc-fit-e07de578,Weight Management Program,2999,weight,,3-month fitness & diet program,Y,,,,,,,,,,,,,
svc-fit-5a3d45ff,Agility Training Session,999,training,,Obstacle course training,,,,,,,,,Y,,,,,
svc-advisory-4816ac9b,Behaviour Assessment,1499,consultations,,Professional behaviour evaluation,Y,,,,,,,,,,,,,
svc-advisory-347e8209,Pet Life Planning,2499,planning,,Comprehensive pet care roadmap,Y,,,,,,,,,,,,,
svc-advisory-4c13f2cb,Senior Pet Care Plan,1999,planning,,Specialized care for aging pets,,,,,,Y,,,,,,,,
svc-paperwork-9dc28c77,Pet Insurance Assistance,499,services,,Help with insurance paperwork,Y,,,,,,,,,,,,,
svc-paperwork-f7b2af2c,Registration Service,299,services,,Pet registration and licensing,Y,,,,,,,,,,,,,
svc-paperwork-18b00074,Health Certificate,799,certificates,,Official health documentation,,,,,,Y,,,,,,,,
svc-paperwork-de483ae1,Microchip Registration,599,documentation,,Microchip and database registration,Y,,,,,,,,,,,,,
svc-paperwork-48c6de72,Pet Will & Trust Setup,4999,legal,,Legal pet care documentation,Y,,,,,,,,,,,,,
svc-emergency-27c8523d,Emergency Transport Service,2999,emergency,,Priority pet ambulance service,,,,,,,,,,,,Y,,
svc-emergency-5aa61513,Lost Pet Recovery Plan,1999,services,,GPS tracking and recovery service,Y,,,,,,,,,,,,,
svc-emergency-b0e9efe5,Emergency Fund Setup,499,financial,,Pet emergency savings plan setup,,,,,,,,,,,,Y,,
svc-adopt-5b8366a7,Adoption Counselling,799,services,,Expert guidance for pet adoption,,,,,,,,,,,,,,Y
svc-adopt-6878a0e9,Home Assessment Service,999,services,,Pet-proofing home consultation,Y,,,,,,,,,,,,,
svc-dine-d6cfc31d,Puppy Picnic Set,899,experiences,,Complete picnic setup for you and your pet,,,,,,,Y,,,,,,,
svc-dine-5e2c2519,Pet Food Tasting Session,599,experiences,,Sample premium pet foods,,,,,,,Y,,,,,,,
svc-dine-d71fa051,Pet Chef Consultation,999,consultations,,One-on-one with pet nutrition chef,Y,,,,,,,,,,,,,
svc-dine-c0c2215d,Doggy Ice Cream Party,1499,events,,Ice cream party for pets,,,,,,,Y,,,,,,,
svc-dine-394247c0,Pet Bakery Tour,799,experiences,,Behind the scenes at pet bakery,,,,,,,Y,,,,,,,
svc-dine-58949d34,Weekly Meal Prep Service,1999,services,,Fresh meals prepared weekly,Y,,,,,,,,,,,,,
svc-dine-fddb1596,Pet Wine & Dine Night,2499,experiences,,Luxury dining experience,,,,,,,Y,,,,,,,
svc-dine-5d0174ec,Pet Nutrition Workshop,1299,classes,,Learn about pet nutrition,,,,,,,,,Y,,,,,
svc-stay-5cf25fe8,Cat Condo Rental,999,boarding,,Private cat accommodation,,,,Y,,,,,,,,,,
svc-stay-d0c8ba69,VIP Pet Penthouse,4999,boarding,,Top-floor luxury suite,,,,Y,,,,,,,,,,
svc-stay-d393d42c,Home Pet Sitting,1299,services,,In-home pet care service,Y,,,,,,,,,,,,,
svc-stay-c57c999b,Overnight Pet Nanny,1999,services,,24-hour in-home care,Y,,,,,,,,,,,,,
svc-stay-8d906e2b,Pet Vacation Resort,6999,boarding,,Resort-style boarding,,,,Y,,,,,,,,,,
svc-stay-65422098,Senior Pet Care Room,1799,boarding,,Specialized senior pet boarding,,,,Y,,,,,,,,,,
svc-stay-cfb19d45,Puppy Kindergarten Stay,1299,boarding,,Socialization-focused boarding,,,,Y,,,,,,,,,,
svc-stay-66f12a22,Pet Hotel Pool Access,499,amenities,,Swimming pool day pass,,,,Y,,,,,,,,,,
svc-stay-96af6b89,Extended Stay Discount,24999,packages,,30-day boarding package,,,,Y,,,,,,,,,,
svc-stay-bee84036,Special Needs Boarding,2499,boarding,,Medical care included,,,,Y,,,,,,,,,,
svc-stay-6e89377d,Holiday Pet Hotel,1999,boarding,,Festive themed stays,,,,Y,,,,,,,,,,
svc-stay-b08656a8,Pet Playgroup Session,399,activities,,Supervised group play,,,,,,,Y,,,,,,,
svc-travel-96ad5c22,Pet Travel Insurance,2999,insurance,,Comprehensive coverage,,,,,Y,,,,,,,,,
svc-travel-128855a2,Airline Pet Booking,4999,services,,Flight booking assistance,Y,,,,,,,,,,,,,
svc-travel-718ace51,Pet Hotel Finder,499,services,,Find pet-friendly stays,,,,Y,,,,,,,,,,
svc-travel-da888f2b,International Vet Check,1999,services,,Travel health certificate,Y,,,,,,,,,,,,,
svc-travel-c36b8834,Pet Relocation Service,14999,relocation,,Complete moving service,Y,,,,,,,,,,,,,
svc-enjoy-f676cf07,Doggy Birthday Party,2999,events,,Full birthday celebration,,,,,,,Y,,,,,,,
svc-enjoy-bd8e74a7,Pet Spa Day,1499,experiences,,Relaxation and pampering,,,,,,,Y,,,,,,,
svc-enjoy-eabfa586,Dog Beach Day,599,activities,,Beach outing package,,,,,,,Y,,,,,,,
svc-enjoy-f662a5ef,Pet Movie Night,799,events,,Outdoor cinema for pets,,,,,,,Y,,,,,,,
svc-enjoy-c2ccdd9c,Hiking Trail Pass,399,activities,,Access to pet trails,,,,,,,Y,,,,,,,
svc-enjoy-5a8978d2,Pet Art Class,999,classes,,Create art with your pet,,,,,,,,,Y,,,,,
svc-enjoy-c4374ad1,Doggy Yoga Session,699,classes,,Doga class for you both,,,,,,,,,Y,,,,,
svc-enjoy-edad76f0,Sunrise Dog Walk,499,activities,,Group morning walks,,,,,,,Y,,,,,,,
svc-enjoy-dbe300ab,Pet Costume Party,799,events,,Themed costume event,,,,,,,Y,,,,,,,
svc-enjoy-8cb5de63,Doggy Dance Class,899,classes,,Learn tricks together,,,,,,,,,Y,,,,,
svc-enjoy-9ed5a32d,Pet Camping Trip,3999,experiences,,Overnight camping adventure,,,,,,,Y,,,,,,,
svc-enjoy-1ffae7ad,Bubble Play Session,299,activities,,Pet-safe bubble fun,,,,,,,Y,,,,,,,
svc-enjoy-aeb3d517,Pet Photobooth Access,399,experiences,,Fun photo opportunities,,,,,,,Y,,,,,,,
svc-fit-da240769,Hydrotherapy Session,1299,therapy,,Water-based exercise,Y,,,,,,,,,,,,,
svc-fit-89526281,Personal Dog Trainer,1999,training,,One-on-one training,,,,,,,,,Y,,,,,
svc-fit-773d1514,Treadmill Training,799,fitness,,Indoor running session,,,,,,,,Y,,,,,,
svc-fit-0abbc0b8,Canine CrossFit,899,fitness,,High-intensity workout,,,,,,,,Y,,,,,,
svc-fit-cb1e54ed,Swimming Lessons,1499,classes,,Learn to swim safely,,,,,,,,,Y,,,,,
svc-fit-bdfea102,Obstacle Course Pass,699,activities,,Access to agility course,,,,,,,Y,,,,,,,
svc-fit-ca1d02b3,Canine Massage Session,999,wellness,,Post-workout recovery,,,,,,Y,,,,,,,,
svc-fit-196b6fe2,Monthly Fitness Plan,4999,programs,,Customized workout plan,,,,,,,,Y,,,,,,
svc-fit-e863d305,Balance Ball Training,699,classes,,Core strengthening,,,,,,,,,Y,,,,,
svc-fit-de7330a4,Sprint Training Session,599,fitness,,Speed and agility,,,,,,,,Y,,,,,,
svc-learn-76313bd3,Basic Obedience Course,2999,training,,Foundation training,,,,,,,,,Y,,,,,
svc-learn-1feabe4b,Puppy Socialization Class,1499,classes,,Early social skills,,,,,,,,,Y,,,,,
svc-learn-f285fc00,Advanced Commands Training,3999,courses,,Complex commands,,,,,,,,,Y,,,,,
svc-learn-ad2ada40,Trick Training Workshop,999,workshops,,Fun tricks to learn,,,,,,,,,Y,,,,,
svc-learn-bdff5948,Behaviour Modification,4999,programs,,Address problem behaviours,Y,,,,,,,,,,,,,
svc-learn-332dfec9,Service Dog Training,9999,specialized,,Professional service training,,,,,,,,,Y,,,,,
svc-learn-a6904223,Therapy Dog Certification,5999,certification,,Become a therapy team,Y,,,,,,,,,,,,,
svc-learn-4781e95d,Recall Training Intensive,2499,courses,,Perfect recall every time,,,,,,,,,Y,,,,,
svc-learn-2e9e8ba7,House Training Program,1999,programs,,Potty training success,,,,,,,,,Y,,,,,
svc-learn-cb9efa29,Separation Anxiety Course,3499,courses,,Build independence,,,,,,,,,Y,,,,,
svc-learn-a10dd645,Canine Good Citizen Prep,2999,certifications,,CGC certification prep,Y,,,,,,,,,,,,,
svc-learn-d28a0927,Online Training Course,1499,training,,Learn at your pace,,,,,,,,,Y,,,,,
svc-learn-f44696cb,Group Training Classes,999,classes,,Social learning,,,,,,,,,Y,,,,,
svc-learn-f64be77d,Private Training Session,1999,training,,One-on-one instruction,,,,,,,,,Y,,,,,
svc-learn-403fe5c2,Reactive Dog Workshop,2999,workshops,,Help reactive dogs,Y,,,,,,,,,,,,,
svc-learn-a3b0b70a,Nose Work Introduction,1299,classes,,Scent detection basics,,,,,,,,,Y,,,,,
svc-care-9e3e93a4,Annual Wellness Checkup,1999,checkups,,Comprehensive health exam,,,,,,Y,,,,,,,,
svc-care-d91b0143,Dental Cleaning,3999,dental,,Professional dental care,Y,,,,,,,,,,,,,
svc-care-1377d639,Flea & Tick Prevention,999,preventive,,Monthly protection,Y,,,,,,,,,,,,,
svc-care-ab29b4f4,Microchipping Service,999,services,,Permanent ID implant,Y,,,,,,,,,,,,,
svc-care-c4f7e586,Allergy Testing,2999,diagnostics,,Identify allergies,Y,,,,,,,,,,,,,
svc-care-6cc875d7,Blood Panel Test,1999,diagnostics,,Complete blood work,Y,,,,,,,,,,,,,
svc-care-4c49bf18,Heartworm Prevention,1499,preventive,,Monthly heartworm protection,Y,,,,,,,,,,,,,
svc-care-48c44b71,Anxiety Relief Drops,799,wellness,,Natural calming aid,,,,,,Y,,,,,,,,
svc-care-72f32b25,Pain Management Plan,2999,treatments,,Chronic pain care,Y,,,,,,,,,,,,,
svc-care-9edbbfba,Wellness Blood Test,1499,diagnostics,,Preventive screening,,,,,,Y,,,,,,,,
svc-advisory-893ea747,New Pet Parent Consult,799,consultations,,First-time owner guidance,Y,,,,,,,,,,,,,
svc-advisory-a40e35c5,Multi-Pet Household Plan,1499,planning,,Managing multiple pets,Y,,,,,,,,,,,,,
svc-advisory-9869b0bb,Pet Insurance Review,499,financial,,Insurance comparison,Y,,,,,,,,,,,,,
svc-advisory-868116bf,Vet Selection Assistance,599,guidance,,Find the right vet,Y,,,,,,,,,,,,,
svc-advisory-ec3071d6,Pet Budget Planning,699,financial,,Financial pet planning,Y,,,,,,,,,,,,,
svc-advisory-f318ce10,Exercise Plan Consult,899,consultations,,Custom fitness plan,,,,,,,,Y,,,,,,
svc-advisory-15cac1ec,Diet Transition Plan,799,planning,,Safe food switching,Y,,,,,,,,,,,,,
svc-advisory-4dff9608,Pet Safety Audit,999,assessments,,Home safety check,Y,,,,,,,,,,,,,
svc-advisory-4bcf8a7b,Training Method Consult,699,consultations,,Find right training style,,,,,,,,,Y,,,,,
svc-advisory-4dcadc67,End-of-Life Planning,999,planning,,Compassionate guidance,Y,,,,,,,,,,,,,
svc-advisory-cd79487b,Rehoming Consultation,599,consultations,,Responsible rehoming help,Y,,,,,,,,,,,,,
svc-fit-20c869ef,Personal Fitness Assessment,1499,fitness_assessment,,"Comprehensive fitness evaluation for your pet including body condition score, mobility check, and personalised exercise plan",,,,,,,,Y,,,,,,
svc-fit-cd0415bd,Agility Training Sessions (4 Pack),2499,exercise_plan,,"Fun agility training sessions to improve coordination, confidence and fitness",,,,,,,,Y,,,,,,
svc-fit-0706f65f,Swimming Therapy Session,1299,exercise_plan,,Low-impact aquatic exercise perfect for senior pets or those recovering from injury,,,,,,,,Y,,,,,,
svc-learn-c970f784,Puppy Foundation Course,4999,puppy_training,,"Essential training for puppies 8-16 weeks covering socialisation, basic commands, and house training",,,,,,,,,Y,,,,,
svc-learn-59efacc8,Basic Obedience Training (8 Sessions),6999,basic_obedience,,"Master sit, stay, come, heel, and leash walking with certified trainers",,,,,,,,,Y,,,,,
svc-learn-86a761b7,Behaviour Modification Programme,8999,behavior_modification,,"Address specific behavioural issues like aggression, anxiety, or excessive barking",,,,,,,,,Y,,,,,
svc-learn-1c73605c,Advanced Tricks & Commands,5499,advanced_training,,"Fun advanced training including tricks, off-leash reliability, and complex commands",,,,,,,,,Y,,,,,
svc-learn-9f57f471,Private In-Home Training Session,2499,basic_obedience,,One-on-one training session at your home for personalised attention,,,,,,,,,Y,,,,,
svc-groom-f1f657ff,Spa Bath & Pamper Session,2499,spa_bath,,"Luxury spa experience with aromatherapy bath, massage, and premium conditioning",Y,,,,,,,,,,,,,
svc-groom-34eaf366,Nail Trim & Paw Care,499,nail_care,,Professional nail trimming with paw pad moisturising treatment,,,,,,Y,,,,,,,,
svc-groom-fed640c9,Breed-Specific Styling,2999,styling,,Expert breed-standard styling by certified groomers familiar with your breed,Y,,,,,,,,,,,,,
svc-advisory-94989eb8,Behaviour Consultation,2999,behaviour,,60-minute consultation with certified animal behaviourist to address concerns,,,,,,,,,,,Y,,,
svc-advisory-4dd08198,Nutrition Planning Session,1999,nutrition,,Personalised nutrition plan developed by veterinary nutritionist,,,,,,,,,,,Y,,,
svc-advisory-bad10d2a,Senior Pet Care Consultation,1499,consultation,,Comprehensive guidance for caring for your ageing pet with comfort and dignity,,,,,,,,,,,Y,,,
svc-advisory-f696c03b,New Pet Parent Coaching,2499,coaching,,One-on-one coaching for new pet parents covering everything from feeding to training,,,,,,,,,,,Y,,,
svc-advisory-9cfa5cb2,Breed Selection Guidance,999,breed_selection,,Expert advice to help you choose the perfect breed for your lifestyle,,,,,,,,,,,Y,,,
svc-paperwork-9c3cb546,Pet Passport Application Service,3999,travel,,Complete assistance with pet passport application including documentation and vet coordination,,,,,,,,,,Y,,,,
svc-paperwork-5f32695e,KCI Registration Assistance,2499,documentation,,Help with Kennel Club of India registration including pedigree verification,,,,,,,,,,Y,,,,
svc-paperwork-5e994d0f,Medical Records Digitisation,999,medical,,Convert all physical medical records to secure digital format with cloud backup,,,,,,,,,,Y,,,,
svc-paperwork-e96964aa,Import/Export Documentation,7999,documentation,,Complete documentation assistance for international pet relocation,,,,,,,,,,Y,,,,
svc-emergency-8d11080b,24/7 Emergency Helpline Subscription,2999,helpline,,Annual subscription to 24/7 veterinary emergency helpline with instant advice,,,,,,,,,,,,Y,,
svc-emergency-afc24ad7,Lost Pet Alert Service,999,lost_pet,,"Instant alert broadcast to local community, shelters, and veterinary clinics",,,,,,,,,,,,Y,,
svc-emergency-84b8d7ec,First Aid Training Course,3499,training,,Learn essential pet first aid skills from certified professionals,,,,,,,,,,,,Y,,
svc-adopt-899ac12c,Adoption Application Processing,499,adoption_process,,Complete adoption application processing with background checks and home visit,,,,,,,,,,,,,,Y
svc-adopt-8baf7a60,Adoption Counselling Session,999,consultation,,Expert guidance to help you find the perfect pet match for your family,,,,,,,,,,,,,,Y
svc-adopt-bc5b1cf3,Shelter Support Donation,500,donation,,Direct donation to partner shelters to support rescued animals,,,,,,,,,,,,,,Y
svc-farewell-0b79f1d7,Private Cremation Service,4999,cremation,,Dignified private cremation with ashes returned in an elegant urn,,,,,,,,,,,,,Y,
svc-farewell-caa3632b,Rainbow Bridge Ceremony,2499,ceremony,,Touching farewell ceremony with readings and memorial moment,,,,,,,,,,,,,Y,
svc-farewell-2b3012b4,Grief Support Counselling,1499,grief_support,,Professional pet loss counselling to help you through this difficult time,,,,,,,,,,,,,Y,
svc-farewell-6374faf4,Paw Print Memorial,999,memorial,,Professional clay paw print impression as a lasting tribute,,,,,,,,,,,,,Y,
svc-insure-4c7b4100,Basic Health Coverage,2999,insurance,,Essential health insurance covering accidents and basic illnesses,,,,,,,,,,,,,,
svc-insure-d823ef58,Comprehensive Pet Insurance,5999,comprehensive,,"Full coverage including accidents, illness, surgeries, and preventive care",,,,,,,,,,,,,,
svc-insure-45d2f162,Senior Pet Insurance,4499,senior_coverage,,Specialised coverage for pets over 7 years with pre-existing condition options,,,,,,,,,,,,,,
svc-insure-3e2d91fd,Wellness Add-On,1499,wellness,,Add preventive care coverage including vaccinations and annual check-ups,,,,,,,,,,,,,,
svc-insure-9212f433,Travel Insurance for Pets,999,travel_insurance,,Coverage for pets during domestic and international travel,,,,,,,,,,,,,,
svc-community-6898a12a,Dog Park Meetup Pass (Monthly),999,meetups,,Monthly pass for organised dog park meetups with socialisation activities,,,,,,,,,,,,,,
svc-community-6771dc01,Pet Parent Social Club Membership,2499,membership,,Annual membership to exclusive pet parent community with events and networking,,,,,,,,,,,,,,
svc-community-81fae822,Breed-Specific Playdate,499,playdates,,Organised playdate with dogs of the same breed for specialised socialisation,,,,,,,,,,,,,,
svc-community-96d0306f,Pet-Friendly Event Ticket,799,events,,Entry to premium pet-friendly events including festivals and exhibitions,,,,,,,,,,,,,,
svc-community-7258b354,Pet Photography Meetup,1499,photo_meetup,,Join other pet parents for a fun photo session with professional photographer,,,,,,,,,,,,,,
svc-bundle-fit-transformation,Complete Fitness Transformation,8999,fitness_bundle,,"12-week programme combining assessment, weight management, and exercise sessions",,,,,,,,Y,,,,,,
svc-bundle-learn-puppy-starter,Puppy Learning Journey,9999,training_bundle,,Complete puppy training from foundation through basic obedience,,,,,,,,,Y,,,,,
svc-bundle-groom-pamper-day,Ultimate Pamper Day,4499,grooming_bundle,,"Full day of pampering including spa bath, full grooming, and de-shedding",,,,,,Y,,,,,,,,
svc-bundle-advisory-new-parent,New Pet Parent Essentials,4999,advisory_bundle,,"Everything new pet parents need including coaching, nutrition, and behaviour guidance",,,,,,,,,,,Y,,,
svc-bundle-insure-complete-protection,Complete Protection Plan,7499,insurance_bundle,,Full insurance coverage with wellness add-on and travel protection,,,,,,,,,,,,,,
svc-PROD-F1680CB37170,IATA Approved Travel Crate - Small,0,travel,,,,,,,Y,,,,,,,,,
svc-PROD-AF47C448D1C4,IATA Approved Travel Crate - Medium,0,travel,,,,,,,Y,,,,,,,,,
svc-PROD-B6630E1C959D,IATA Approved Travel Crate - Large,0,travel,,,,,,,Y,,,,,,,,,
svc-PROD-F8008846F354,Portable Pet Water Bottle,0,travel,,,,,,,Y,,,,,,,,,
svc-PROD-66EA6B650090,GPS Smart ID Tag,0,travel,,,,,,,Y,,,,,,,,,
svc-PROD-4897907A5EBE,Premium Deshedding Brush,0,care,,,,,,,,Y,,,,,,,,
svc-PROD-BF7EBA0D2EC2,Safety Nail Clipper Set,0,care,,,,,,,,Y,,,,,,,,
svc-PROD-CD37054E7D05,Gentle Oatmeal Shampoo,0,care,,,,,,,,Y,,,,,,,,
svc-PROD-CC3AD8944742,Ear Cleaning Solution,0,care,,,,,,,,Y,,,,,,,,
svc-PROD-7FBD4D907103,Biodegradable Poop Bags (120 Count),0,care,,,,,,,,Y,,,,,,,,
svc-PROD-8C4134CAF38F,Calming Pheromone Spray,0,care,,,,,,,,Y,,,,,,,,
svc-PROD-C1600C3F930F,Pet Dining Placemat,0,dine,,,,,Y,,,,,,,,,,,
svc-PROD-62236491D609,Dine-Time Calming Spray,0,dine,,,,,Y,,,,,,,,,,,
svc-PROD-3E55A7BAFAC4,Caf Ready Bandana,0,dine,,,,,Y,,,,,,,,,,,
svc-PROD-639D63468799,Reusable Pup Cup,0,dine,,,,,Y,,,,,,,,,,,
svc-PROD-53AC5CACA0BB,Outdoor Dining Mat,0,dine,,,,,Y,,,,,,,,,,,
svc-PROD-FBB90DF3D120,Caf Cooling Vest,0,dine,,,,,Y,,,,,,,,,,,
svc-PROD-CDADEE5AF32A,Fresh Breath Dental Chews,0,dine,,,,,Y,,,,,,,,,,,
svc-fit-prod-915b63cd,Dog Yoga Mat,1299,fit,,Non-slip yoga mat designed for pet stretching and relaxation exercises. Perfect for doga sessions with your furry friend.,,,,,,,,Y,,,,,,
svc-fit-prod-cc80aef8,Interactive Fetch Launcher,2499,fit,,Automatic ball launcher with adjustable distance settings. Great for high-energy dogs who love fetch.,,,,,,,,Y,,,,,,
svc-fit-prod-ec10e862,Swimming Vest (All Sizes),1799,fit,,High-visibility flotation vest for water-loving dogs. Adjustable straps and handle for easy lifting.,,,,,,,,Y,,,,,,
svc-fit-prod-358bfdea,Treadmill for Dogs,15999,fit,,Indoor exercise solution for dogs. Variable speed settings and safety rails. Perfect for rainy days or apartment living.,,,,,,,,Y,,,,,,
svc-seed-stay-40a736ce,Standard Boarding - 1 Night,999,boarding,,Comfortable overnight stay with meals,,,,Y,,,,,,,,,,
svc-seed-stay-25beac5b,Premium Suite - 1 Night,1499,boarding,,Luxury suite with AC and webcam access,,,,Y,,,,,,,,,,
svc-seed-stay-b4d82068,Daycare Pass - Single Day,599,daycare,,Full day of play and supervision,,,,Y,,,,,,,,,,
svc-seed-stay-e053f179,Daycare Pack - 10 Days,4999,daycare,,10-day daycare pass with 2 bonus days,,,,Y,,,,,,,,,,
